USD|9870.00|9570.00
SGD|7942.00|7842.00
HKD|1260.30|1244.70
CHF|10659.70|10302.70
GBP|15407.65|14882.65
AUD|10235.65|9885.65
JPY|101.63|97.71
SEK|1536.35|1475.85
DKK|1761.25|1688.95
CAD|9828.80|9480.80
EUR|13045.35|12619.35
SAR|2641.50|2542.50
NZD|8483.40|8167.40
CNY|1602.40|1551.30
remotelastupdate|01 Mei 2013 / 16:20 WIB
